Title,Year,Rated,Released,Runtime,Plot,Poster,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
The Old Dark House,1932,Approved,20 Oct 1932,72 min,"Seeking shelter from a pounding rainstorm in a remote region of Wales, several travellers are admitted to a gloomy, foreboding mansion belonging to the extremely strange Femm family. Trying to make the best of it, the guests must deal with their sepulchral host, Horace Femm and his obsessive, malevolent sister Rebecca. Things get worse as the brutish manservant Morgan gets drunk, runs amuck and releases the long pent-up brother Saul, a psychotic pyromaniac who gleefully tries to destroy the residence by setting it on fire.",https://m.media-amazon.com/images/M/MV5BYTZlZjAyZTQtZjIzMC00NjhjLTgyY2YtZGIxNDE3MmEwMzZlXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.0,"13,736",tt0023293,"$25,678"
Tiger Shark,1932,Passed,24 Sep 1932,77 min,Mike is a great tuna fisherman although he lost a hand to a shark years earlier saving Pipes Boley. Now Mike is happily married to Quita and doesn't notice that Pipes and Quita are falling for each other.,https://m.media-amazon.com/images/M/MV5BMjA2ZjNlNWEtOWRjYy00YWQ0LWEyNTEtZDkzNzZlYmNmYTQ4XkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,N/A,6.4,"1,080",tt0023594,N/A
The Tiger of Yautepec,1933,N/A,19 Oct 1934,86 min,"A good man and his son are kidnapped by a bunch of bandits called 'Los Chacales'. Twenty years after, another band of 'banditos' (Los Plateados) terrorizes the region. The leader of 'Los Plateados', El Tigre (Ortiz), is the boy kidnapped 20 years before. El Tigre knows beautiful Dolores (Gallardo) and decides to conquer her... without knowing she's his long-lost sister.",https://m.media-amazon.com/images/M/MV5BZGI2NjlmYTUtOGUwZC00NmZhLWEyZDAtOTVkYmFmMGFjNGQ4XkEyXkFqcGdeQXVyMTk1MjA1NjU@._V1_SX300.jpg,N/A,6.3,22,tt0024671,N/A
The Devil Tiger,1934,Approved,08 Feb 1934,60 min,"Africa's fiercest jungle beasts clash in mortal combat in this wild animal adventure thriller. A story of white hunters and a Chinese boy hunting the title beast, that takes a back seat to amazing documentary footage. A crocodile ...",https://m.media-amazon.com/images/M/MV5BYmI0YjMyN2MtYWY5Mi00OGY3LWFlZjctODU5Mjg2N2EyY2UzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,4.6,19,tt0025048,N/A
Tiger Bay,1934,Passed,01 Sep 1934,70 min,"A young Englishman abroad, Michael, visits the local low-life spot of Tiger Bay to test his assertion that the spirit of human romance survives even in the most unpromising of circumstances. He intervenes when a local criminal protection racketeer targets a Chinese nightclub, and falls in love with the owner's young English foster-sister. But Olaf's gang have only just started their campaign against Lui Chang, the cultured, elegant woman who owns the premises... and she is determined not to be intimidated or driven out of business under any circumstances...",https://m.media-amazon.com/images/M/MV5BMTQ1OTY2NjgwOF5BMl5BanBnXkFtZTgwODI4Njk1MDE@._V1_SX300.jpg,N/A,5.9,87,tt0025896,N/A
The Dark Angel,1935,Approved,08 Sep 1935,106 min,"Kitty Vane, Alan Trent, and Gerald Shannon have been inseparable friends since childhood. Kitty has always known she would marry one of them, but has waited until the beginning of World War I before finally choosing Alan. Gerald graciously gives them his blessing. Then, Gerald and Alan go to war. Angered over a misunderstanding involving Alan and Kitty, Gerald sends Alan on a dangerous mission that will change all their lives forever.",https://m.media-amazon.com/images/M/MV5BMjBmNTU4ZTQtNWRiZC00YWZiLWJmZTctY2FjYzM5NTNmODQ2XkEyXkFqcGdeQXVyMTc3ODg0MjQ3._V1_SX300.jpg,N/A,6.6,976,tt0026264,N/A
Mad Love,1935,Approved,12 Jul 1935,68 min,"In Paris, the great surgeon Dr. Gogol falls madly in love with stage actress Yvonne Orlac, and his ardor disturbs her quite a bit when he discovers to his horror that she is married to concert pianist Stephen Orlac. Shortly thereafter, Stephen's hands are badly crushed in a train accident- beyond the power of standard medicine. Knowing that his hands are his life, Yvonne overcomes her fear and goes to Dr. Gogol, to beg him to help. Gogol decides to surgically graft the hands of executed murderer Rollo onto Stephen Orlac, the surgery is successful but has terrible side-effects...",https://m.media-amazon.com/images/M/MV5BMjMxMzc5MjkzOV5BMl5BanBnXkFtZTgwNDk5MjgzMjE@._V1_SX300.jpg,N/A,7.2,"6,040",tt0026663,N/A
Wings in the Dark,1935,Approved,01 Feb 1935,75 min,"Aeronautical engineer Ken Gordon and his faithful mechanic Mac are devoted to developing technology that will enable pilots to safely fly blind during adverse weather conditions. An irresponsible newsman, Nick Williams, publishes a premature story about a planned long distance flight Gordon hopes will prove his theories. Because of Williams, he loses funding but is introduced to skilled aviatrix Shiela Mason. After Gordon is literally blinded in a workshop accident, Shiela undertakes dangerous stunt flying jobs in order to secretly support Gordon's continuing research. When she undertakes a dangerous Moscow to New York non-stop flight and is in jeopardy of crashing over a fog-bound Roosevelt Field, there is only one person capable of saving her.",https://m.media-amazon.com/images/M/MV5BYjNiZTA1YTQtOGIxZS00ZTJjLTg3ZDYtNTQ5NjJlM2YwNmE4XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,730,tt0027221,N/A
Bengal Tiger,1936,Approved,07 Feb 1937,62 min,"Cliff Ballenger, the wild-animal trainer for the circus had no fear of ""Satan,"" the fiercest man-eating tiger in captivity, but the creature hated its master and longed to tear the big man to pieces with its rendering claws and fangs.",https://m.media-amazon.com/images/M/MV5BYjkxYjA0NjItMDYyNS00NzYzLWIzZGMtY2QwNmZjYmY2MTVkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,5.1,153,tt0027349,N/A
Dark Journey,1937,Not Rated,02 Jul 1937,77 min,"Madeline Goddard is a smart young woman who owns a fashionable dress shop in neutral Sweden during World War One. Though she is grateful to avoid the fighting, the courageous and stunningly pretty Madeline feels she should be doing more for her native France. She volunteers to work as an intelligence agent, smuggling maps and other documents within the fashionable garments she ships to wealthy customers in London. Madeline's activities are so successful that British intelligence soon comes to rely on her as their main pipeline for information. At about this time, a British official in Sweden asks her to cultivate the friendship of Baron Karl Von Marwitz, a tall, distinguished-looking German officer who is in charge of counter-espionage activities at the German embassy. Unknown to Madeline, the baron has been sent to Sweden for the express purpose of discovering and eliminating the top British spy who has been smuggling out German war plans. When Madeline and Karl meet, each recognizes the other as a deadly foe. But a smoldering attraction seems to grow each time they see each other. Madeline is dazed by her conflicting feelings and attempts to run away; however Von Marwitz is able to board her ship on the high seas and capture her as a spy. Soon afterwards, his own ship is torpedoed by a British destroyer sent to rescue Madeline. The mortally wounded Baron Von Marwitz dies in her arms, confessing his love. Madeline is hailed as a hero but turns to look out to sea, shedding tears over her gallant German lover.",https://m.media-amazon.com/images/M/MV5BNjc0NWMzMGMtYzM2Yy00YTE0LTgwYTMtMmE5NjFmNTk1YzMyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,"1,492",tt0028767,N/A
The Tiger of Eschnapur,1938,N/A,29 Apr 1938,96 min,"The Maharadscha vom Eschnapur hires a German architect to build a mausoleum. Burning with vengeance when he finds out his young wife has fallen for an adventurer he develops a deadly plan, while flattering the architect's fiancée and fighting ongoing treason.",https://m.media-amazon.com/images/M/MV5BODhlNTFmYzMtZDFjMC00YmM1LTk3NGYtYjAyMTlmODVhOTk4XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,6.3,127,tt0030871,N/A
Dark Victory,1939,Approved,22 Apr 1939,104 min,"Judith Traherne is at the height of young society when Dr. Frederick Steele diagnoses a brain tumor. After surgery, she falls in love with Steele. The doctor tells her secretary that the tumor will come back and eventually kill her. Learning this, Judith becomes manic and depressive. Her horse trainer Michael, who loves her, tells her to get as much out of life as she can. She marries Steele who intends to find a cure for her illness. As he goes off to a conference in New York failing eyesight indicates to Judith that she is dying.",https://m.media-amazon.com/images/M/MV5BYWI1ZGMzN2UtNGRiZS00MTllLTk3ODYtNmNiYzhhZGI1NjE0XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.4,"12,737",tt0031210,N/A
Love Affair,1939,Approved,07 Apr 1939,88 min,"A French playboy and an American former nightclub singer fall in love aboard a ship. They arrange to reunite six months later, after he has had a chance to earn a decent living.",https://m.media-amazon.com/images/M/MV5BMzIwNTBhMDItNGNmZi00YzlkLTgxNDktOTkwNWE4YjkwMzVjXkEyXkFqcGc@._V1_SX300.jpg,91,7.3,"6,631",tt0031593,N/A
The Rules of the Game,1939,Not Rated,08 Apr 1950,110 min,"On the brink of WWII, the record-breaking aviator, André Jurieux, safely lands at a small airport crammed with reporters, only to come face-to-face with his worst fear: the object of his desire, Christine, a blonde noblewoman and wife of the affluent Marquis de la Cheyniest, Robert, is not there to greet him. Intent on winning her back, André accepts his friend Octave's invitation for a lavish hunting weekend at the aristocrat's palatial country estate at La Coliniere, among hand-picked guests and the mansion's servants. However, intrigue, rivalries, and human weaknesses threaten to expose royalty and paupers alike. Who will breach first the unwritten rules of the game?",https://m.media-amazon.com/images/M/MV5BNzlmNmM0MGMtNzlkYS00OTMzLTgwMTktZTA3ZWMyYWFlYmQ3XkEyXkFqcGc@._V1_SX300.jpg,99,7.9,"31,917",tt0031885,"$273,641"
Dark Command,1940,Approved,15 Apr 1940,94 min,"When transplanted Texan Bob Seton arrives in Lawrence, Kansas he finds much to like about the place, especially Mary McCloud, daughter of the local banker. Politics is in the air however. It's just prior to the civil war and there is already a sharp division in the Territory as to whether it will remain slave-free. When he gets the opportunity to run for marshal, Seton finds himself running against the respected local schoolteacher, William Cantrell. Not is what it seems however. While acting as the upstanding citizen in public, Cantrell is dangerously ambitious and is prepared to do anything to make his mark, and his fortune, on the Territory. When he loses the race for marshal, he forms a group of raiders who run guns into the territory and rob and terrorize settlers throughout the territory. Eventually donning Confederate uniforms, it is left to Seton and the good citizens of Lawrence to face Cantrell and his raiders in one final clash.",https://m.media-amazon.com/images/M/MV5BZjIwNDdmNTctMTJhMy00MGY4LTg4Y2UtMWIyOWY3ZGYzMGFhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.7,"3,158",tt0032383,N/A
Half a Sinner,1940,Approved,05 Apr 1940,59 min,"Although young and beautiful, schoolteacher Anne Gladden fears a dull future. She finally decides to take a walk on the wild side, splurging on some fashionable new clothes and setting off to find adventure. Her new confidence inspires her to flirt with complete strangers. When a gangster pays unwanted attention to her, she ditches him and flees in his car, unaware that there's a corpse in the backseat. Determined to recover his stolen vehicle and its incriminating cargo the thug begins a desperate search. The oblivious Anne, comes to the aid of a handsome young man stranded alongside the road. Romance blooms, but after the shocking discovery of a body in the trunk, the duo decide they have to return the car. The bickering lovebirds head back to the city, trailed by both the angry gangster and the cops, who suspect the young couple of murder.",https://m.media-amazon.com/images/M/MV5BMmFjOTJmODktMTUyNi00MjA2LTk1MTUtZjJmNWVjYmM5MzFiXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.3,426,tt0032566,N/A
His Girl Friday,1940,Approved,18 Jan 1940,92 min,"Having been away for four months, Hildy Johnson walks into the offices of the New York City based The Morning Post, where she is a star reporter, to tell her boss, editor Walter Burns, that she is quitting. The reason for her absence was among other things to get a Reno divorce, from, of all people, Walter, who admits he was a bad husband. Hildy divorced Walter largely because she wanted more of a home life, whereas Walter saw her more as a driven hard-boiled reporter than subservient homemaker. Hildy has also come to tell Walter that she is taking the afternoon train to Albany, where she will be getting married tomorrow to staid straight-laced insurance agent, Bruce Baldwin, with whose mother they will live, at least for the first year. Walter doesn't want to lose Hildy, either as a reporter or a wife, and if he does, doesn't believe Bruce is worthy of her. Walter does whatever he can at least to delay Hildy and Bruce's trip, long enough to persuade Hildy to stay for good. His plan includes doing whatever he can to place Bruce in a bad light, while dangling a big story under her nose, namely covering what the newspaper believes is the unfair imminent execution of convicted cop killer, Earl Williams. Hildy doesn't trust Walter in dealing with her and Bruce in an above board manner, but the lure of what potentially may become the biggest story in years, which includes true love, a bumbling sheriff and a corrupt mayor, the latter's actions largely in light of an upcoming election, may prove to be too much for Hildy to resist, especially if it ends up being an exclusive. Regardless of the story outcome, Hildy will have to decide if the thrill of the chase was worth the anguish on her personal life.",https://m.media-amazon.com/images/M/MV5BMzRhMTQ1ZjEtYzM2MC00OThiLTk3NTEtNGRhNzcwNGM2YWQ4XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.8,"64,510",tt0032599,"$296,000"
I Love You Again,1940,Approved,09 Aug 1940,99 min,"While alone on a cruise, the upstanding - and mean - teetotaler, Larry Wilson, receives a blow on the head, causing him to revert to his old, forgotten persona of man-about-town and swindler, George Carey. Deciding to get what he can out of his position as Wilson, he returns to Wilson's hometown to continue the pretense. The only trouble is he takes a serious shine to his wife, Kay, and doesn't at all agree that Larry should be letting her go.",https://m.media-amazon.com/images/M/MV5BNzJiYjhiMGUtODBjYy00MjliLTgyNWUtNmNiYzM5NDNkMjQ4XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.4,"3,900",tt0032617,N/A
Footsteps in the Dark,1941,Approved,08 Mar 1941,96 min,A high-society gent has a secret life - he writes murder mysteries and hangs out with the police attempting to solve crimes. This causes him no end of problems when his wife wants to know about his little disappearances and exceptionally late nights out.,https://m.media-amazon.com/images/M/MV5BMGRlMDQ5YzEtN2I0ZC00YjJlLTliNGQtOTQ1ZTY1NGI4ZDBhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.7,"1,508",tt0033616,N/A
Whistling in the Dark,1941,Passed,08 Aug 1941,78 min,"The operators of 'Silver Haven', a cultish group bilking gullible rich people out of money, is set to inherit a large sum after the deceased woman's heir also dies. Leader Joesph Jones decides to hurry the process along and kidnaps Wally Benton, his fiance and a friend to further this goal. Wally is ""The Fox"", a radio sleuth who solves murders on the air. Jones wants him to devise a perfect murder and isn't above killing others sloppily along the way to get his foolproof murder plot.",https://m.media-amazon.com/images/M/MV5BMGMzOGRiMTUtODViZC00NWQwLWJmOGItYWI1OTc3MTdkZWM4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,N/A,6.7,"1,089",tt0034389,N/A
Cat People,1942,Approved,25 Dec 1942,73 min,"Serbian national Irena Dubrovna, a fashion sketch artist, has recently arrived in New York for work. The first person who she makes a personal connection with there is marine engineer Oliver Reed. The two fall in love and get married despite Irena's reservations, not about Oliver but about herself. She has always felt different than other people, but has never been sure why. She lives close to the zoo, and unlike many of her neighbors is comforted by the sounds of the big cats emanating from the zoo. And although many see it purely as an old wives' tale, she believes the story from her village of ancient residents being driven into witchcraft and evil doing, those who managed to survive by escaping into the mountains. After seeing her emotional pain, Oliver arranges for her to see a psychiatrist to understand why she believes what she does. In therapy, Dr. Judd, the psychiatrist, learns that she also believes, out of that villagers' tale, that she has descended from this evil - women who change into great cats like panthers in passion, anger or jealousy - and that she will turn into a such a dangerous big cat upon being kissed in turn killing her lover and others who have betrayed her. This belief is why she has resisted falling in love before she met Oliver. Learning this information from Irena, Oliver wants to do whatever needed to help her as does Dr. Judd. But Irena's beliefs may be tested when Oliver's friendship with a co-worker named Alice Moore may become more than just friends...",https://m.media-amazon.com/images/M/MV5BNDMzMjc3NmQtNjhjYS00Y2MyLWE4NTUtODVmYTU2Y2JjMGU4XkEyXkFqcGc@._V1_SX300.jpg,85,7.2,"27,102",tt0034587,N/A
The Saint Meets the Tiger,1941,Approved,29 Jul 1943,70 min,"A man murdered at the Saint's doorstep manages to utter a few words to Simon Templar before he dies, sending him off to the quaint resort village of Baycombe where he confronts crime mastermind 'The Tiger' and his gang as they plan to smuggle gold bullion out of the country.",https://m.media-amazon.com/images/M/MV5BZTg1NThjNzAtNjIwMy00NGQ2LTg0ZGMtZjAxYzU2MzA4MDMyXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg,N/A,5.7,591,tt0036324,N/A
Tiger Fangs,1943,Approved,10 Sep 1943,59 min,A big-game hunter travels to Malaya to help stop the Nazis and Japanese from destroying the rubber industry.,https://m.media-amazon.com/images/M/MV5BNWM0NTk2NzEtZGM1Yi00N2I5LTgyZmYtY2FjNTc5MWFkNThlXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,N/A,4.7,105,tt0036439,N/A
Cover Girl,1944,Approved,06 Apr 1944,107 min,"Rusty Parker, a red-headed leggy dancer at Danny McGuire's Night Club in Brooklyn, wants to be a successful Broadway star. She enters a contest to be a 'Cover Girl' as a stepping-stone in her career. She reminds the publisher, John Coudair, of his lost love, showgirl Maribelle Hicks. He was engaged to Maribelle, although his wealthy society mother made fun of her. Maribelle left John at the altar when she saw the piano at her wedding. It reminded her of the piano-player she truly loved. Rusty is Maribelle's granddaughter and there are musical sequences with Maribelle dancing to songs from the beginning of the 20th century. Rusty lands on the cover of her grandmother's former fiancé's magazine (as a bride). She is pursued by Coudair's pal, the wealthy theatrical producer, Noel Wheaton. He produces a lavish musical to star Rusty, surrounded by real cover girls of the mid 1940's. Rusty runs down a huge spiral into the arms of dozens of men who seem clumsy next to her ethereal dancing. But her success threatens Danny McGuire. He expressed his distress that his girlfriend will find success without him in Kelly's famous dance with himself, 'Alter Ego'. He and his sidekick, Genius, leave New York and entertain soldiers fighting in World War II. Rusty agrees to marry Noel, dazzled by success, security, and his power and money. But she drinks and loses weight because her heart belongs to Danny. She receives a symbolic pearl with great power and tells Coudair and Wheaton that she must spend her life with the man she loves.",https://m.media-amazon.com/images/M/MV5BYTgzODZjYWEtY2M3YS00NTJmLWEzYjctNDU2NjBkODE0ZDBlXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.7,"6,168",tt0036723,N/A
Dark Waters,1944,Approved,21 Nov 1944,90 min,"Leslie Calvin, traumatized from being the only survivor of a torpedo attack on the ship she was traveling by, eagerly accepts her aunt and uncle's invitation to go live with them on a nice quiet estate. But when she arrives at the train station, no one is there to meet her and she is unable to ignore the feeling that something is terribly off. Is she slowly going mad or is there something darker going on?",https://m.media-amazon.com/images/M/MV5BZjQ5ODc1YzMtMDQ5Zi00NWQ2LWEyMGMtMTI4ZmFhOWY0ZjU5XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,N/A,6.5,"1,118",tt0036745,N/A
The Tiger Woman,1944,Approved,27 May 1944,196 min,"Greedy oil speculators, led by Morgan, are trying to force Tiger Woman and her band of warriors from their jungle home. Allen Saunders of Inter-Ocean Oil wants to develop the oil, too, but fights with Tiger Woman to stop the bad guys.",https://m.media-amazon.com/images/M/MV5BZjcyM2E5MmEtZWViMy00YWEzLWFiOTctMGVhMDY5NjYwOTk5XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,N/A,6.7,148,tt0037378,N/A
Tiger Trouble,1945,Approved,05 Jan 1945,7 min,"Big game hunter Goofy is riding his trusty elephant in search of a tiger. Unfortunately, while they are stopped for lunch, the tiger finds them, and soon enough, Goofy is separated from his rifle. The tiger toys with the goof for a while, then peels off the sole of one shoe and heads for the foot. Meanwhile, Goofy's been preparing a hotfoot for his tormentor, which gets him a small head start on the chase that follows. After a fair bit of chasing, Goofy's elephant comes to the rescue.",https://m.media-amazon.com/images/M/MV5BMGZmZDFhYjQtYmQ5Zi00MGVmLWIzN2MtM2NjNWM4OTdlM2RmXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.0,579,tt0038174,N/A
I See a Dark Stranger,1946,Approved,03 Feb 1947,98 min,"Determined, independent Bridie Quilty comes of age in 1944 Ireland thinking all Englishmen are devils. Her desire to join the IRA meets no encouragement, but a German spy finds her easy to recruit. We next find her working in a pub near a British military prison, using her sex appeal in the service of the enemy. But chance puts a really vital secret into her hands, leading to a chase involving Bridie, a British officer who's fallen for her, a German agent unknown to them both, and the police...paralleled by Bridie's own internal conflicts.",https://m.media-amazon.com/images/M/MV5BNDdiOGVmMmYtNDA1Ni00OTAxLWJiZmEtYzY5MGQ5NDQwNzJkXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.0,"1,873",tt0038289,N/A
Dark Alibi,1946,Approved,25 May 1946,61 min,"Three men are convicted of bank robberies, the main evidence against them being that their fingerprints were found at the scenes. However, Charlie Chan believes them to be innocent, and his investigation reveals that they are indeed innocent and that their fingerprints were forged and planted in the prison files to frame them. Charlie sets out to uncover the real bank robbers.",https://m.media-amazon.com/images/M/MV5BZWQ0OGQ0ZjMtZmIxNy00Njk0LWJhMWQtMjM1Y2RjYjhiMTViL2ltYWdlXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,N/A,6.5,"1,437",tt0038452,N/A
The Dark Corner,1946,Approved,08 May 1946,99 min,"Private investigator Bradford Galt has moved to New York from San Fransisco after serving a jail term on account of his lawyer partner Tony Jardine. When he finds someone is tailing - and possibly trying to kill him, Galt believes Jardine is behind it. As he finds there is rather more to it, he is increasingly glad to have his attractive new secretary Kathleen around, for several reason.",https://m.media-amazon.com/images/M/MV5BZjQyZjgyNTgtNzA5OC00ZTJjLTkwNmYtOGU3Y2NmN2E3NzEyXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.1,"5,366",tt0038453,"$1,000,000"
The Dark Mirror,1946,Approved,08 Jan 1947,85 min,"A woman suspected of murdering her doctor boyfriend has an identical twin sister. When both twins have an alibi for the night of the murder, a psychiatrist is called in to assist a detective in solving the case. Through a series of tests, he discovers which twin actually committed the crime, and in the course of his investigation he falls in love with one of them.",https://m.media-amazon.com/images/M/MV5BNTcyNGNmMzItNTRiMS00YjkxLTg1MmYtYzZlNTgxNTk3NDcxXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.1,"5,810",tt0038455,N/A
